Task,T343
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,171.0,25.0
2,171.0,25.0
3,171.0,25.0
4,171.0,25.0
5,171.0,25.0
6,170.9,25.0
7,170.9,25.0
8,171.0,25.0
9,170.9,25.0
10,170.9,25.0
11,170.9,25.0
12,170.9,25.0
13,170.9,25.0
14,170.9,25.0
15,170.9,25.0
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,-2.5,25.0
2,-2.6,25.0
3,-2.7,25.0
4,-2.7,25.0
5,-2.7,25.0
6,-2.7,25.0
7,-2.7,25.0
8,-2.7,25.0
9,-2.7,25.0
10,-2.7,25.0
11,-2.7,25.0
12,-2.7,25.0
13,-2.7,25.0
14,-2.8,25.0
15,-2.8,25.0
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-177.9,25.0
2,-178.0,25.0
3,-178.0,25.0
4,-178.0,25.0
5,-178.0,25.0
6,-178.0,25.0
7,-178.0,25.0
8,-178.0,25.0
9,-178.0,25.0
10,-178.0,25.0
11,-178.1,25.0
12,-178.1,25.0
13,-178.1,25.0
14,-178.1,25.0
15,-178.1,25.0
16,-178.1,25.0
