"SampleID","TA","Mass","Sample.Index","TA_evap"
"Junk1",2329.22272433197,59.9009,1,2329.22272433197
"Junk2",2309.32446340075,60.3907,2,2308.00560305615
"ACR_265_20200913_RUN_6",2311.92623997186,60.3983,3,2309.28705476641
"POC_40_20200915_RUN_9",2304.69919688141,59.6919,4,2300.75504537505
"POR_75_20200915_RUN_10",2266.89761480164,59.9771,5,2261.72795091384
"POC_52_20200915_RUN_9",2302.83426053084,59.8449,6,2296.2734791618
"INITIAL_2_20200914_RUN_7",2320.09777855919,60.4887,7,2312.17033740238
"POC_222_20200913_RUN_5",2291.32900173987,60.0259,8,2282.20020093612
"POC_219_20200912_RUN_4",2313.0888826464,60.3524,9,2302.56288090512
"ACR_139_20200915_RUN_10",2300.48530297663,60.1274,10,2288.71476987442
"BLANK_8_20200914_RUN_8",2323.28680637061,60.0365,11,2310.08631315259
"POR_70_20200916_RUN_11",2293.70258036081,60.0661,12,2279.37507985884
"POR_260_20200914_RUN_7",2216.00433316368,59.9607,13,2200.91236267676
"POR_209_20200912_RUN_4",2243.00126003344,59.9955,14,2226.46182930149
"POR_262_20200913_RUN_6",2309.1438293754,60.1321,15,2290.81729104702
"POR_214_20200912_RUN_4",2253.58547123757,59.8515,16,2234.43318677946
"POR_245_20200913_RUN_5",2187.66506815362,60.0428,17,2167.84477308541
"POC_371_20200909_RUN_1",2272.14193219835,59.9766,18,2250.28204943244
"POC_257_20200914_RUN_7",2266.52130002636,60.0345,19,2243.44585692654
"POR_76_20200914_RUN_8",2226.91547981615,60.4601,20,2202.9972242387
"ACR_210_20200913_RUN_5",2266.66739341163,59.7542,21,2241.05533246912
"ACR_364_20200912_RUN_3",2231.66169461661,59.9025,22,2205.19930298084
"INITIAL_2_20200913_RUN_6",2332.67847758154,60.273,23,2303.71745810818
"ACR_237_20200914_RUN_7",2263.22145164721,60.2248,24,2233.86212091519
"INITIAL_1_20200913_RUN_6",2330.26035738796,60.2292,25,2298.73485086185
"ACR_143_20200916_RUN_11",2309.47494300695,59.7765,26,2276.94712690826
"POC_254_20200914_RUN_8",2287.64903295308,59.7061,27,2254.15867548868
"CRM",2210.22083800713,60.4262,28,2176.63841672059
